Source,Target,In-domain,LogReg acc,SVM acc,RoBERTa acc,DistilBERT acc
Electronics,Electronics,True,0.904,0.9066666666666666,0.7546666666666667,0.9306666666666666
Electronics,Books,False,0.8213333333333334,0.8093333333333333,0.6626666666666666,0.8426666666666667
Electronics,Clothing,False,0.8466666666666667,0.848,0.6946666666666667,0.8893333333333333
Electronics,Home & Kitchen,False,0.8946666666666667,0.8853333333333333,0.7093333333333334,0.896
Electronics,Toys,False,0.8733333333333333,0.8706666666666667,0.7146666666666667,0.9253333333333332
Books,Electronics,False,0.8053333333333333,0.804,0.6733333333333333,0.876
Books,Books,True,0.912,0.912,0.7186666666666667,0.9173333333333332
Books,Clothing,False,0.7946666666666666,0.7973333333333333,0.66,0.8573333333333333
Books,Home & Kitchen,False,0.8093333333333333,0.8066666666666666,0.6333333333333333,0.8506666666666667
Books,Toys,False,0.8506666666666667,0.8506666666666667,0.6893333333333334,0.904
Clothing,Electronics,False,0.8533333333333334,0.8653333333333333,0.6893333333333334,0.9066666666666666
Clothing,Books,False,0.7906666666666666,0.8106666666666666,0.628,0.8586666666666667
Clothing,Clothing,True,0.8906666666666667,0.8973333333333333,0.7453333333333333,0.9066666666666666
Clothing,Home & Kitchen,False,0.8906666666666667,0.9,0.7146666666666667,0.908
Clothing,Toys,False,0.8573333333333333,0.8733333333333333,0.732,0.924
Home & Kitchen,Electronics,False,0.84,0.872,0.5866666666666667,0.9066666666666666
Home & Kitchen,Books,False,0.7733333333333333,0.7986666666666666,0.54,0.86
Home & Kitchen,Clothing,False,0.872,0.876,0.624,0.8973333333333333
Home & Kitchen,Home & Kitchen,True,0.908,0.9173333333333332,0.6613333333333333,0.92
Home & Kitchen,Toys,False,0.8413333333333334,0.864,0.6013333333333334,0.9293333333333332
Toys,Electronics,False,0.8386666666666667,0.8506666666666667,0.6426666666666667,0.8893333333333333
Toys,Books,False,0.816,0.816,0.66,0.8773333333333333
Toys,Clothing,False,0.8386666666666667,0.868,0.6413333333333333,0.888
Toys,Home & Kitchen,False,0.8613333333333333,0.8693333333333333,0.632,0.864
Toys,Toys,True,0.9066666666666666,0.9226666666666666,0.7453333333333333,0.924
